Strain,Temperature,TraitValue,Trait,TemperatureUnits,TraitUnits,Phylum,Class,Order,Family,Genus,Species
21_21_01,25,0.462596576,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,30,0.297074498,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,30,0.321405929,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,30,0.453061737,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,30,0.346809834,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,35,0.269536883,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,35,0.164044227,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,35,0.182110275,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,35,0.240587867,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,15,0.357974524,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,15,0.406021454,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,15,0.342694812,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,15,0.337817595,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,19,0.588515357,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,19,0.595812418,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,19,0.569753245,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,19,0.502349719,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,21,0.797390244,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,21,0.763306014,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,21,0.721457322,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,21,0.714316901,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,23,1.139857524,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,23,1.164747269,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,23,1.231169623,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,23,1.159356291,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,25,1.142950182,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,25,1.295233414,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,25,1.05319302,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,25,1.288715066,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,30,0.905676025,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,30,0.810972107,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,30,0.90065494,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,30,1.000502493,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,35,0.440736806,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,35,0.533947189,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,35,0.664115355,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_01,35,0.614154814,Specific Respiration Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
21_21_02,5,0.09064648,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,5,0.078420848,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,5,0.083997904,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,5,0.095005949,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,10,0.157254264,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,10,0.08400902,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,10,0.120354171,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,10,0.074411992,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,15,0.147143409,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,15,0.203887426,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,15,0.109584591,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,15,0.119262939,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,19,0.197523773,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,19,0.238463166,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,19,0.249565444,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,19,0.338791389,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,21,0.408391988,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,21,0.42454946,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,21,0.652021157,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,21,0.466764869,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,23,0.428410503,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,23,0.388044366,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,23,0.423134905,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,23,0.525124441,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,25,0.322745693,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,25,0.394394332,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,25,0.343584875,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,25,0.574221604,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,30,0.048005128,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,30,0.174462551,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,30,0.235934721,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,30,0.244313073,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,5,0.200602761,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,5,0.21564176,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,5,0.255735297,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,5,0.274608621,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,10,0.48321187,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,10,0.493313601,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,10,0.414102218,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,10,0.541185972,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,15,0.635763261,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,15,0.603202787,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,15,0.830834979,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,15,0.841728099,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,19,0.677396736,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,19,0.799563522,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,19,0.972757555,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,19,1.056552772,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,21,1.469831371,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,21,1.188636471,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,21,1.210083974,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,21,1.124907698,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,23,1.109425555,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,23,0.994002432,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,23,1.107358952,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,23,1.56025215,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,25,0.826310513,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,25,0.881188892,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,25,1.247364355,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,25,0.802423734,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,30,0.306652443,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,30,0.342946162,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,30,0.482932567,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_02,30,0.599319126,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.
21_21_04,5,0.016335037,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,5,0.097939904,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,5,0.082172977,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,5,0.066232743,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,10,0.116116805,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,10,0.073603128,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,10,0.123218928,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,10,0.044927233,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,15,0.232229638,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,15,0.220804169,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,15,0.216345364,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,15,0.119640328,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,19,0.365149804,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,19,0.377295942,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,19,0.334771018,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,21,0.290060203,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,21,0.467191733,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,23,0.333877337,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,23,0.380108419,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,23,0.272990279,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,23,0.238803815,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,25,0.385840755,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,25,0.388178597,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,25,0.220197052,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,25,0.261580693,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,30,0.071829779,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,30,0.061893874,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,30,0.118318488,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,5,0.0579932,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,5,0.086900259,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,5,0.098512723,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,5,0.135694727,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,10,0.150290988,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,10,0.17398019,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,10,0.113984746,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,10,0.111460269,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,15,0.252970233,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,15,0.335169316,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,15,0.287030412,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,15,0.280998015,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,19,0.279690537,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,19,0.332262177,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,19,0.2641722,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,21,0.345456826,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,21,0.427932295,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,23,0.482095319,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,23,0.551178058,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,23,0.579235686,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,23,0.525769494,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,25,0.746851175,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,25,0.617266532,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,25,0.572938156,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,25,0.663298357,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,30,0.285745994,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,30,0.289368296,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_04,30,0.236544697,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,sp.
21_21_05,15,0.136090329,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,mycoides
21_21_05,15,0.153071666,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,mycoides
21_21_05,15,0.300318777,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,mycoides
21_21_05,15,0.227930278,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,mycoides
21_21_05,19,0.187079521,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,mycoides
21_21_05,19,0.273645983,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,mycoides
21_21_05,19,0.297586105,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,mycoides
21_21_05,19,0.421912095,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,mycoides
21_21_05,21,0.28000659,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,mycoides
21_21_05,21,0.348115189,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,mycoides
21_21_05,21,0.447002315,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,mycoides
21_21_05,21,0.471676389,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,mycoides
21_21_05,23,0.434474751,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,mycoides
21_21_05,23,0.30707715,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,mycoides
21_21_05,23,0.388284934,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,mycoides
21_21_05,23,0.50806362,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,mycoides
21_21_05,25,0.235935135,Specific Growth Rate,Celsius,h^-1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,mycoides
